,CPI,PPI
0,,
1,,
2,201.59866666666667,
3,202.02233333333334,
4,201.74,
5,200.98533333333333,
6,200.43366666666665,
7,201.107,
8,202.692,
9,203.71266666666665,
10,202.87333333333336,
11,201.17366666666666,
12,201.53466666666668,
13,202.211,
14,203.15533333333335,
15,203.44733333333332,
16,202.32366666666667,
17,202.0393333333333,
18,201.538,
19,202.356,
20,203.89499999999998,
21,204.6786666666667,
22,204.028,
23,202.00933333333333,
24,202.30366666666666,
25,203.99366666666666,
26,204.93433333333334,
27,205.6293333333333,
28,205.70100000000002,
29,205.53100000000003,
30,205.13933333333333,
31,205.45133333333334,
32,207.51699999999997,
33,208.19700000000003,
34,207.70666666666668,
35,206.73866666666666,
36,206.35500000000002,
37,208.4286666666667,
38,209.93800000000002,
39,210.2586666666667,
40,209.87299999999996,
41,209.10766666666666,
42,208.332,
43,209.19500000000002,
44,210.28533333333334,
45,210.61866666666666,
46,210.043,
47,208.213,
48,208.91600000000003,
49,211.75666666666666,
50,212.67999999999998,
51,213.16933333333336,
52,212.61433333333335,
53,212.91666666666666,
54,212.76533333333336,
55,214.659,
56,216.35666666666665,
57,217.0053333333333,
58,215.31466666666665,
59,213.83233333333337,
60,215.362,
61,217.057,
62,217.74433333333332,
63,216.679,
64,216.07566666666665,
65,216.0246666666667,
66,216.3256666666667,
67,216.99099999999999,
68,217.0186666666667,
69,217.15866666666668,
70,216.38933333333333,
71,215.74099999999999,
72,216.70266666666666,
73,218.45633333333333,
74,219.045,
75,218.63766666666666,
76,219.48166666666665,
77,219.02166666666668,
78,217.10366666666667,
79,216.92233333333334,
80,217.89666666666668,
81,218.11933333333332,
82,217.13966666666667,
83,214.94733333333332,
84,216.41933333333336,
85,216.93533333333335,
86,217.71366666666665,
87,218.21266666666665,
88,217.718,
89,216.87599999999998,
90,216.49133333333336,
91,217.53866666666667,
92,217.46433333333334,
93,218.45933333333332,
94,217.24633333333335,
95,217.62133333333335,
96,218.14566666666667,
97,218.98066666666668,
98,218.47899999999996,
99,216.43733333333333,
100,215.36933333333332,
101,215.367,
102,215.48233333333334,
103,216.37333333333333,
104,216.582,
105,215.833,
106,214.49166666666665,
107,213.8153333333333,
108,214.9026666666667,
109,214.80599999999995,
110,215.05933333333334,
111,215.944,
112,216.76166666666666,
113,216.956,
114,217.53466666666668,
115,218.5103333333333,
116,220.164,
117,221.951,
118,222.12566666666666,
119,222.444,
